# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Aluno\Desktop\RELOGAO\Pin Planner.csv
# Generated on: Thu Jul 26 13:57:10 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
Saida[26],Output,PIN_P6,1,B1_N0,PIN_P6,,,,
Saida[25],Output,PIN_P7,1,B1_N0,PIN_P7,,,,
Saida[24],Output,PIN_T9,1,B1_N0,PIN_T9,,,,
Saida[23],Output,PIN_R5,1,B1_N0,PIN_R5,,,,
Saida[22],Output,PIN_R4,1,B1_N0,PIN_R4,,,,
Saida[21],Output,PIN_R3,1,B1_N0,PIN_R3,,,,
Saida[20],Output,PIN_U9,1,B1_N0,PIN_U9,,,,
Saida[19],Output,PIN_U1,1,B1_N0,PIN_U1,,,,
Saida[18],Output,PIN_U2,1,B1_N0,PIN_U2,,,,
Saida[17],Output,PIN_T4,1,B1_N0,PIN_T4,,,,
Saida[16],Output,PIN_R7,1,B1_N0,PIN_R7,,,,
Saida[15],Output,PIN_R6,1,B1_N0,PIN_R6,,,,
Saida[14],Output,PIN_T3,1,B1_N0,PIN_T3,,,,
Saida[13],Output,PIN_Y23,6,B6_N1,PIN_Y23,,,,
Saida[12],Output,PIN_AA25,6,B6_N1,PIN_AA25,,,,
Saida[11],Output,PIN_AA26,6,B6_N1,PIN_AA26,,,,
Saida[10],Output,PIN_Y26,6,B6_N1,PIN_Y26,,,,
Saida[9],Output,PIN_Y25,6,B6_N1,PIN_Y25,,,,
Saida[8],Output,PIN_U22,6,B6_N1,PIN_U22,,,,
Saida[7],Output,PIN_W24,6,B6_N1,PIN_W24,,,,
Saida[6],Output,PIN_AB23,6,B6_N1,PIN_AB23,,,,
Saida[5],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
Saida[4],Output,PIN_AC25,6,B6_N1,PIN_AC25,,,,
Saida[3],Output,PIN_AC26,6,B6_N1,PIN_AC26,,,,
Saida[2],Output,PIN_AB26,6,B6_N1,PIN_AB26,,,,
Saida[1],Output,PIN_AB25,6,B6_N1,PIN_AB25,,,,
Saida[0],Output,PIN_Y24,6,B6_N1,PIN_Y24,,,,
SegAla,Input,PIN_P2,1,B1_N0,PIN_P2,,,,
SwitchDorHORA,Input,PIN_V2,1,B1_N0,PIN_V2,,,,
SwitchDorMINUTOS,Input,PIN_V1,1,B1_N0,PIN_V1,,,,
SwitchDorSEGUNDOS,Input,PIN_U4,1,B1_N0,PIN_U4,,,,
VERAOUNAO,Input,PIN_AD13,8,B8_N0,PIN_AD13,,,,
